,Participant,protocol,device,D,ID,W,MT,xT,yT,x_end,y_end,x0,y0
0,955152,pvp,mouse,76.0,5.861530062208644,1.33,0.9827454090118408,129.96,86.64,130.055,86.26,160.835,86.64
1,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.376688003540039,99.75,16.815,99.465,16.53,130.055,86.26
2,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.145747184753418,37.145,59.945,36.67,59.85,99.465,16.53
3,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.3733577728271484,112.67,52.25,112.575,52.535000000000004,36.67,59.85
4,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.3048887252807617,186.01,32.49,186.105,32.3,112.575,52.535000000000004
5,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.4325947761535645,113.81,8.645,113.905,9.215,186.105,32.3
6,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.1680071353912354,187.72,25.935,188.195,25.935,113.905,9.215
7,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.3298375606536865,244.34,76.57000000000001,243.96,76.95,188.29,25.935
8,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.3748822212219238,241.87,152.475,241.965,153.04500000000002,243.96,76.95
9,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.496103286743164,167.675,135.565,167.77,135.185,241.965,153.04500000000002
10,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.1529035568237305,91.865,141.645,92.245,141.36,167.77,135.185
11,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.0867555141448975,15.96,137.465,15.77,137.56,92.245,141.36
12,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.2574853897094727,17.67,61.465,17.955000000000002,61.56,15.77,137.56
13,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.0717201232910156,77.425,14.535,77.425,15.01,17.955000000000002,61.56
14,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.0733566284179688,29.07,73.15,28.88,73.15,77.425,15.01
15,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.830892562866211,88.73,26.03,88.255,25.84,28.88,73.15
16,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.1610229015350342,87.305,101.935,87.59,101.555,88.255,25.84
17,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.3989512920379639,152.57,140.695,152.095,140.98,87.685,101.65
18,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.1758503913879395,78.375,124.165,78.375,123.97500000000001,152.095,140.98
19,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.1059327125549316,13.68,164.065,13.395,164.065,78.375,123.97500000000001
20,955152,pvp,mouse,76.0,5.861530062208644,1.33,1.6706280708312988,37.81,91.96000000000001,37.715,91.865,13.395,164.065
21,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.2278647422790527,129.96,86.64,129.77,86.165,94.81,87.685
22,955152,pvp,mouse,114.0,6.438197784198078,1.33,2.3138153553009033,218.69,15.105,218.5,15.01,129.77,86.165
23,955152,pvp,mouse,114.0,6.438197784198078,1.33,1.9691431522369385,198.74,127.3,198.93,127.015,218.5,15.01
24,955152,pvp,mouse,114.0,6.438197784198078,1.33,2.0560336112976074,198.55,13.3,198.74,13.3,198.93,127.015
25,955152,pvp,mouse,114.0,6.438197784198078,1.33,2.3846240043640137,197.41,127.205,197.695,127.3,198.74,13.3
