,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,omega,C,rsq,pvptype
0,217235.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.48,29.853493341732666,31.793694000380917,1.9027409785400813,5.563102377440567,0.9917870651741998,Project
1,217235.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.46,37.21392759200042,16.64244984881517,1.7769040849749222,4.543701716298891,0.9743220662403372,Project
2,217235.0,pvp,touchpad,19.0,3.934112064343543,1.33,0.42,13.350277557725292,4.44911945876309,1.1409499856955745,5.77443278084371,0.9825574878634388,Project
3,217235.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.43,27.482339805980565,7.450151477272834,1.3054355392540589,6.225195618154717,0.9850576860970192,Project
4,217235.0,pvp,touchpad,133.0,6.658211482751796,1.33,0.39,55.00773570355092,46.85329551751714,1.5961960838889913,6.1188027791178845,0.9804663440763918,Project
5,217235.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.4,45.68520764670437,39.5267121091013,1.611980691558763,6.491794602877903,0.9907600269051628,Project
6,217235.0,pvp,controller,110.2,6.389861771052448,1.33,0.87,46.26967920347819,30.389248415728996,3.4446989346042107,2.7570589681301745,0.9929349364773704,Project
7,217235.0,pvp,controller,64.6,5.631436930520657,1.33,0.73,24.671475477724933,20.42292267502844,2.885486104520432,2.696578944870846,0.9366205227782504,Project
8,217235.0,pvp,controller,19.0,3.934112064343543,1.33,0.55,8.393856036056112,7.354735046672199,1.9056975739125863,3.4520430742768617,0.95601495392965,Project
9,217235.0,pvp,controller,41.8,5.01919356523331,1.33,0.56,17.455936706000035,15.495597905928449,2.891974221247303,2.4491227633191626,0.9387351975716294,Project
10,217235.0,pvp,controller,133.0,6.658211482751796,1.33,0.93,29.6914603012174,21.573369113197245,3.8334350726708144,2.35640495755118,0.9912756377215528,Project
11,217235.0,pvp,controller,87.4,6.0599238176520585,1.33,0.59,33.79881557176476,14.142911031977428,2.553256869336031,2.562862675432527,0.9774160546898916,Project
12,217235.0,pvp,mouse,19.0,3.934112064343543,1.33,0.3,7.997676969307415,8.324943940013886,1.546299189234397,3.762538189650764,0.9696984147104148,Project
13,217235.0,pvp,mouse,64.6,5.631436930520657,1.33,0.32,21.966954772392985,12.233112152879684,1.6214360540675414,4.259899655671097,0.986741482341544,Project
14,217235.0,pvp,mouse,110.2,6.389861771052448,1.33,0.3,50.62750330966576,17.041504442821783,1.4033261100763674,6.116644697685,0.9884727106394992,Project
15,217235.0,pvp,mouse,41.8,5.01919356523331,1.33,0.24,25.682339221209325,11.865524003022635,1.102118518737017,6.046160564267554,0.9875935327241396,Project
16,217235.0,pvp,mouse,87.4,6.0599238176520585,1.33,0.29,39.62288911655469,15.478788379543865,1.59299836144887,4.8616957353894605,0.9905264470499486,Project
17,217235.0,pvp,mouse,133.0,6.658211482751796,1.33,0.26,82.276457895699,19.76263514536165,1.3924240212448225,5.452363406151936,0.9752137026687794,Project
18,217235.0,fitts,mouse,133.0,6.658211482751796,1.33,0.27,56.57474553119594,27.29964682468463,1.2057436902933216,6.265506960672946,0.992178693678143,Project
19,217235.0,fitts,mouse,64.6,5.27715822476734,1.71,0.19,34.37443028263649,16.13515934442315,0.9471778376879714,5.823088252238273,0.9727165515663296,Project
20,217235.0,fitts,mouse,87.4,4.655954332292595,3.61,0.18,46.40889283174021,17.169778689217726,0.917540927705808,5.585959093181448,0.9679851560623548,Project
21,217235.0,fitts,mouse,19.0,1.3856536924977498,11.78,0.18,6.07812965925573,5.612465169039197,0.5253185944790114,4.950360279403737,0.9610842514946384,Project
22,217235.0,fitts,mouse,110.2,3.7958592832197744,8.55,0.2,56.67922260859952,19.054556866193423,0.9756357396488258,4.547645563974505,0.9440592913607392,Project
23,217235.0,fitts,mouse,41.8,2.938599455335857,6.2700000000000005,0.16,22.861278434144403,7.866111481258112,0.7075828335013206,6.073605196902233,0.9851930081104368,Project
24,217235.0,fitts,controller,110.2,3.7958592832197744,8.55,0.76,44.43854100155623,24.7685940067314,1.7746581997265112,2.45713391384394,0.9855580458614004,Project
25,217235.0,fitts,controller,64.6,5.27715822476734,1.71,0.67,27.7343913879904,20.064128978986503,2.382851852336854,3.0893820605097724,0.9836266971640912,Project
26,217235.0,fitts,controller,19.0,1.3856536924977498,11.78,0.5,5.86130397718859,6.481502108602335,1.1320569282424482,3.0829793756954995,0.99233625536932,Project
27,217235.0,fitts,controller,133.0,6.658211482751796,1.33,0.95,15.701990975248236,11.862690989469408,2.342597188606634,3.4046657149617765,0.971820143214208,Project
28,217235.0,fitts,controller,87.4,4.655954332292595,3.61,0.56,27.56883338471852,15.640090882102683,2.4273424261586647,2.8635588789019857,0.9900324649356674,Project
29,217235.0,fitts,controller,41.8,2.938599455335857,6.2700000000000005,0.53,12.553609601629898,12.35190947935277,1.275180708343798,3.8777488203150767,0.9972098685320298,Project
30,217235.0,fitts,touchpad,133.0,6.658211482751796,1.33,0.37,64.84427445514997,40.8105661547934,1.9611623853439748,4.888388389517059,0.9885637091050636,Project
31,217235.0,fitts,touchpad,19.0,1.3856536924977498,11.78,0.29,11.93728878118914,4.2456805722706745,0.484203705055754,9.825177892588108,0.9741942389658448,Project
32,217235.0,fitts,touchpad,110.2,3.7958592832197744,8.55,0.34,44.41184643771327,41.104651550898886,1.40896341463102,5.694901578143207,0.9252887381708416,Project
33,217235.0,fitts,touchpad,41.8,2.938599455335857,6.2700000000000005,0.31,24.831650802869333,9.11638963775733,0.81437448912947,6.5487867144624765,0.9894971889671684,Project
34,217235.0,fitts,touchpad,64.6,5.27715822476734,1.71,0.31,39.7562974262274,13.93467095283831,1.0966498860035456,6.116712687333985,0.9654335252622336,Project
35,217235.0,fitts,touchpad,87.4,4.655954332292595,3.61,0.33,50.7666183086149,21.302463831185054,1.2495514439905495,6.32395210003289,0.9687320088826946,Project
36,217235.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.48,28.24095542770028,33.01436712894029,1.8961431902892327,4.960423360044839,0.988189570799192,Centroid
37,217235.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.46,37.787996172744585,17.370513644862843,1.7271122635393994,4.411157633713342,0.9823160930537131,Centroid
38,217235.0,pvp,touchpad,19.0,3.934112064343543,1.33,0.43,13.210832010585332,3.5178327823952777,1.1914520541531255,4.486064948731778,0.996683982261512,Centroid
39,217235.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.44,24.251838561703277,7.778702214081653,1.2883527159650463,5.698918524996203,0.9851987278760216,Centroid
40,217235.0,pvp,touchpad,133.0,6.658211482751796,1.33,0.39,50.61430673130722,47.85912663031436,1.5617970082738926,5.9238969004053885,0.9787526247858276,Centroid
41,217235.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.4,45.68029376073565,39.856727421702,1.5369207851462212,6.105880301713741,0.9925350055234774,Centroid
