,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,Omega,C,rsq
0,136418.0,fitts,touchpad,41.8,2.938599455335857,6.2700000000000005,0.31,17.145944782631314,4.139041172509954,0.7970712167992262,5.625270297960592,0.9752121023456418
1,136418.0,fitts,touchpad,19.0,1.3856536924977498,11.78,0.24,7.546093312369447,1.8270309382148566,0.5049946985199176,3.6244267678580573,0.9947968850365201
2,136418.0,fitts,touchpad,133.0,6.6582114827517955,1.33,0.33,72.10940170376121,16.5347698545569,1.7041629003753997,4.725694147333731,0.9715768619915598
3,136418.0,fitts,touchpad,87.4,4.655954332292595,3.61,0.33,26.48606559900708,11.71893977229005,1.336589343646732,4.97232044205905,0.986813166459073
4,136418.0,fitts,touchpad,110.2,3.7958592832197744,8.55,0.34,28.312141595895163,13.837693365482977,1.1567958851359654,5.588080095034626,0.962035021087948
5,136418.0,fitts,touchpad,64.6,5.27715822476734,1.71,0.27,22.967478648917186,8.44684451441738,1.3932017697980954,5.094435042060193,0.9794625833280861
6,136418.0,fitts,controller,110.2,3.7958592832197744,8.55,0.54,33.73722767640364,14.032736496414772,2.1259777926607635,1.81005801692138,0.9735726198221735
7,136418.0,fitts,controller,64.6,5.27715822476734,1.71,0.5700000000000001,6.92929251642781,13.85885377276156,2.9444973617377777,2.184988078311832,0.9852843075903295
8,136418.0,fitts,controller,87.4,4.655954332292595,3.61,0.63,24.30742995320462,14.628668312773337,2.6038769570951454,2.3053157352678753,0.9711715988927258
9,136418.0,fitts,controller,19.0,1.3856536924977498,11.78,0.47000000000000003,0.44966906300082443,6.03850999403493,2.003541292082962,1.2524207388310988,0.9197125668452726
10,136418.0,fitts,controller,133.0,6.6582114827517955,1.33,0.63,78.4035966388979,14.17963985334561,3.2117730132591547,2.1301240213693213,0.985712283162539
11,136418.0,fitts,controller,41.8,2.938599455335857,6.2700000000000005,0.59,-0.6762194007058762,12.269668877441214,2.67999993659803,1.8290126162205935,0.8900155278455391
12,136418.0,fitts,mouse,87.4,4.655954332292595,3.61,0.21,40.80460245686452,8.667804608610442,0.8918107061537783,5.766636091625053,0.9817412337337604
13,136418.0,fitts,mouse,41.8,2.938599455335857,6.2700000000000005,0.2,12.413435911658786,5.285211205728028,0.6678878454680091,6.172922662543626,0.9842120746363209
14,136418.0,fitts,mouse,19.0,1.3856536924977498,11.78,0.21,3.608339140486346,2.6288527456426096,0.4869704277122491,3.6046954629895964,0.9887988274850538
15,136418.0,fitts,mouse,133.0,6.6582114827517955,1.33,0.25,63.691911371155186,11.921168901926823,1.3637376864207087,5.0981226784260745,0.9893959670096009
16,136418.0,fitts,mouse,110.2,3.7958592832197744,8.55,0.22,45.35254463872073,12.477671378684464,0.8241949017354018,5.56994235982253,0.9690397771647428
17,136418.0,fitts,mouse,64.6,5.27715822476734,1.71,0.21,27.765008830702794,5.9139627273455115,0.9457555721245843,5.8510242407064945,0.995871672321662
18,136418.0,pvp,mouse,19.0,3.9341120643435428,1.33,0.24,12.408232044530614,4.02417639872056,1.1531126527750901,4.762396102039342,0.9873253029546097
19,136418.0,pvp,mouse,64.6,5.631436930520657,1.33,0.26,32.33940320363778,9.633160132106925,1.1121475975448085,5.922044517332089,0.9902472454492263
20,136418.0,pvp,mouse,133.0,6.6582114827517955,1.33,0.27,68.51691019836014,13.100904379369842,1.453349691565275,5.115345938457762,0.9818003375284998
21,136418.0,pvp,mouse,41.8,5.01919356523331,1.33,0.28,16.217438612190044,6.081469613467218,1.1372992978391967,5.443315275735345,0.9856294937517656
22,136418.0,pvp,mouse,87.4,6.0599238176520585,1.33,0.28,45.635764990235536,9.907570321685915,1.2850777361187995,5.1651215019121315,0.9899877569258692
23,136418.0,pvp,mouse,110.2,6.389861771052448,1.33,0.25,71.53333542873587,10.305130234656499,1.3648778837584699,4.657153733580877,0.9771406607582758
24,136418.0,pvp,controller,19.0,3.9341120643435428,1.33,0.59,2.417903464880003,7.131861570766542,3.516412654337289,1.2561173168201456,0.848918395738094
25,136418.0,pvp,controller,133.0,6.6582114827517955,1.33,0.75,63.523437328089464,16.29205728460002,4.43676678221378,1.4017060592193593,0.9617460555324057
26,136418.0,pvp,controller,64.6,5.631436930520657,1.33,0.63,18.61868496547842,11.936745887666904,4.563927917011095,1.2874887254391942,0.97416529410314
27,136418.0,pvp,controller,87.4,6.0599238176520585,1.33,0.63,30.790000948253077,13.731805454376884,3.832616569522111,1.3517376441135986,0.9431247436059655
28,136418.0,pvp,controller,41.8,5.01919356523331,1.33,0.54,6.506607862247498,7.183603458032302,3.422406712554348,1.4215513491957288,0.9181310343366208
29,136418.0,pvp,controller,110.2,6.389861771052448,1.33,0.62,54.33074782577147,12.979874003209897,4.163396434188747,1.4885779636031022,0.9641793699703347
30,136418.0,pvp,touchpad,133.0,6.6582114827517955,1.33,0.36,58.47510791019725,19.304636416669943,1.8740528893682509,4.522081574178092,0.9777286935684066
31,136418.0,pvp,touchpad,19.0,3.9341120643435428,1.33,0.35000000000000003,11.761349215365293,2.583783412533793,1.2149696079195134,3.807857472974076,0.9800752343810064
32,136418.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.39,40.88945785541788,15.544083867775242,1.6863447280851722,4.977893017984763,0.9815708789835613
33,136418.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.35000000000000003,42.754538647379285,15.630110545864595,1.6842933567384542,4.861264042009868,0.9799705446294708
34,136418.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.38,32.88234832861668,9.526338996693504,1.4779863821565629,4.872001575210158,0.9856751711814954
35,136418.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.35000000000000003,22.067879962724064,5.5840801268640075,1.4045041411158559,4.353756275401173,0.9671517127646135
