,Participant,protocol,device,D,ID,W,tau,Dtau,sigma0,Omega,C,rsq
0,642382.0,fitts,mouse,41.8,2.938599455335857,6.2700000000000005,0.26,15.10853918683423,8.558597460976923,0.7679555788143555,6.520801262209635,0.9512565231015617
1,642382.0,fitts,mouse,110.2,3.7958592832197744,8.55,0.2,75.54773177907003,19.084847797444716,0.806561636475764,4.462670098242502,0.9926853744863664
2,642382.0,fitts,mouse,64.6,5.27715822476734,1.71,0.25,18.18820990095857,14.341672779094887,1.0371247532950372,5.7997606859563895,0.9791658483262082
3,642382.0,fitts,mouse,133.0,6.6582114827517955,1.33,0.24,74.86718175443627,25.107160454847445,1.0554774608525563,6.1384695009021835,0.9908197715591099
4,642382.0,fitts,mouse,87.4,4.655954332292595,3.61,0.24,33.24399832914852,16.67882413584585,0.8315315895862582,6.505424381648163,0.9959905926549423
5,642382.0,fitts,mouse,19.0,1.3856536924977498,11.78,0.23,7.270206185141123,6.161362137134031,0.43453659033564573,3.3632984682260054,0.9035925575745042
6,642382.0,fitts,touchpad,87.4,4.655954332292595,3.61,0.34,48.674201700039,22.585817947249353,1.0834555404230064,5.330652982155974,0.9883740965750785
7,642382.0,fitts,touchpad,19.0,1.3856536924977498,11.78,0.29,5.859362571073699,4.8079289861773455,0.5056382419537849,5.073967176876529,0.8952401510395696
8,642382.0,fitts,touchpad,110.2,3.7958592832197744,8.55,0.31,61.21525256970228,28.007538536312026,0.9953023110397581,6.178692252367532,0.9480861893514292
9,642382.0,fitts,touchpad,133.0,6.6582114827517955,1.33,0.34,90.57503476911265,45.571859467482696,1.3287792331279833,6.535403578518007,0.9842296873708037
10,642382.0,fitts,touchpad,64.6,5.27715822476734,1.71,0.34,30.345391835551037,19.69160699554461,1.2303219572550612,5.643404890648508,0.9612384543942524
11,642382.0,fitts,touchpad,41.8,2.938599455335857,6.2700000000000005,0.32,16.985777379523633,10.748803824976568,1.0266514438504202,3.2303597337547654,0.8369991397505618
12,642382.0,pvp,controller,87.4,6.0599238176520585,1.33,0.67,30.401027029142345,20.0134251328931,3.380963897894694,2.124526449853203,0.9922160664821476
13,642382.0,pvp,controller,110.2,6.389861771052448,1.33,0.6,49.078483908029305,17.965361448457735,3.29400548386846,1.8290927229498355,0.9762104541870403
14,642382.0,pvp,controller,19.0,3.9341120643435428,1.33,0.55,-2.352976015591762,10.922227601637086,2.7527070810413523,1.5945568159609305,0.9461271169437057
15,642382.0,pvp,controller,133.0,6.6582114827517955,1.33,1.03,12.662544375718802,16.00008924108228,3.907003380848262,1.5357986027448818,0.894556796206665
16,642382.0,pvp,controller,64.6,5.631436930520657,1.33,0.62,10.26147125334549,15.707085627850683,3.1848824711869055,1.7787045672507693,0.920241403716466
17,642382.0,pvp,controller,41.8,5.01919356523331,1.33,0.63,1.7777357365719562,13.596129194028869,3.356735180041425,1.5247305877761763,0.9140362144770171
18,642382.0,fitts,controller,110.2,3.7958592832197744,8.55,0.67,33.38057773485593,21.68856875153617,1.6378263495170642,2.7705715304709964,0.9706928762012542
19,642382.0,fitts,controller,19.0,1.3856536924977498,11.78,0.32,3.068317542082701,10.7438832474401,1.054939309147491,2.064095475910913,0.9486011404176655
20,642382.0,fitts,controller,64.6,5.27715822476734,1.71,0.52,19.35546269031525,15.558038825434082,2.4549699938661114,1.853696896674633,0.8323328717958173
21,642382.0,fitts,controller,41.8,2.938599455335857,6.2700000000000005,0.34,23.314260225883874,11.77229561781282,1.8024417454980595,1.986712334960347,0.9696062592277673
22,642382.0,fitts,controller,87.4,4.655954332292595,3.61,0.49,41.590522524557564,16.921227117990842,2.1728202180212444,2.068129029368933,0.9787793611648155
23,642382.0,fitts,controller,133.0,6.6582114827517955,1.33,0.78,35.04096219270271,18.372768149230186,3.2742070614994523,1.6771071065443417,0.8848507137880918
24,642382.0,pvp,touchpad,19.0,3.9341120643435428,1.33,0.34,10.83675858993947,5.680519847542085,1.0751917432801446,4.420111086174071,0.9376172553964732
25,642382.0,pvp,touchpad,87.4,6.0599238176520585,1.33,0.41000000000000003,24.10276101619614,37.34966628926989,1.416526874323437,7.178134426646838,0.9738302044565179
26,642382.0,pvp,touchpad,133.0,6.6582114827517955,1.33,0.36,81.34880681396663,54.375238508446074,1.6059905176106954,6.074498773980543,0.9854269578560612
27,642382.0,pvp,touchpad,64.6,5.631436930520657,1.33,0.35000000000000003,38.0666212860905,24.29841324981619,1.2865343224811974,6.718820520733162,0.9807495766500408
28,642382.0,pvp,touchpad,41.8,5.01919356523331,1.33,0.36,25.24927086118841,14.623370886214481,1.1031274604042407,7.019960949663341,0.9626703616931492
29,642382.0,pvp,touchpad,110.2,6.389861771052448,1.33,0.37,68.81683799368953,31.557659665696416,1.5888069487481196,5.672487895957031,0.9937069791206208
30,642382.0,pvp,mouse,133.0,6.6582114827517955,1.33,0.31,59.392151101444604,27.72067582043312,1.9732527784872314,3.0998473220687126,0.8472463935734784
31,642382.0,pvp,mouse,64.6,5.631436930520657,1.33,0.36,11.802517433772524,14.860077133364895,1.2030485738148777,6.513501769610939,0.9922376599212684
32,642382.0,pvp,mouse,41.8,5.01919356523331,1.33,0.32,17.507537099481727,8.643728670831887,1.202418123010441,5.457005395369426,0.9642467666888368
33,642382.0,pvp,mouse,87.4,6.0599238176520585,1.33,0.35000000000000003,29.995960420322557,17.982803978661277,1.3253590707995722,5.591347616614406,0.9918687110195812
34,642382.0,pvp,mouse,110.2,6.389861771052448,1.33,0.32,53.43016001038664,23.20301067802035,1.3440088462087452,5.6645149133618675,0.9886122685550386
35,642382.0,pvp,mouse,19.0,3.9341120643435428,1.33,0.35000000000000003,6.70723403734487,7.249673077303742,1.2868941899023658,4.639366612778676,0.9692114494016905
